Title,Artist,Year,Rank,Lyrics
How Am I Supposed to Live Without You,Laura Branigan,1983,61,"I could hardly believe it when I heard the news todayI had to come and get it straight from youThey said you were leavin', someone swept your heart awayFrom the look upon your face, I see it's trueSo tell me all about itTell me about the plans you're makin'Then tell me one thing more before I goTell me how am supposed to live without you?Now that I've been lovin' you so longHow am I supposed to live without you?How am I supposed to carry on?When all that I've been livin' for is goneDidn't come here for cryin'Didn't come here to breakdownIt's just a dream of mine is coming to an endHow can I blame youWhen I build my world aroundThe hope that one day we'd be so muchMore than friends?And I don't wanna know the price I'm gonna pay for dreamingI need you now, it's more than I can takeTell me how am supposed to live without you?Now that I've been lovin' you so longHow am I supposed to live without you?And how am I supposed to carry on?When all that I've been livin' for is gone"
China Girl,David Bowie,1983,62,"[Intro]Oh-oh-oh-oh, little China GirlOh-oh-oh-oh, little China Girl[Verse 1]I could escape this feeling with my China GirlI feel a wreck without my little China GirlI hear her heart beating loud as thunderSaw the stars crashing[Verse 2]I'm a mess without my little China GirlWake up in the mornings, where's my little China Girl?I hear her hearts beating loud as thunderI saw the stars crashing down[Chorus 1]I'm feeling tragic like I'm Marlon BrandoWhen I look at my China GirlI could pretend that nothing really meant too muchWhen I look at my China Girl[Verse 3]I stumble into town just like a sacred cowVisions of swastikas in my head, plans for everyoneIt's in the white of my eyes"
Come Dancing,The Kinks,1983,63,"They put a parking lot on a piece of landWhere the supermarket used to standBefore that they put up a bowling alleyOn the site that used to be the local PalaisThat's where the big bands used to come and playMy sister went there on a SaturdayCome dancingAll her boyfriends used to come and callWhy not come dancing?It's only naturalAnother Saturday, another dateShe would be ready but she's always make them waitIn the hallway in anticipationHe didn't know the night would end up in frustrationHe'd end up blowing all his wages for the weekAll for a cuddle and a peck on the cheekCome dancingThat's how they did it when I was just a kidAnd when they said come dancingMy sister always didMy sister should have come in at midnightAnd my mum would always sit up and waitIt always ended up in a big rowWhen my sister used to get home late"
"Promises, Promises",Naked Eyes,1983,64,"Never had a doubt in the beginningNever a doubtTrusted you true in the beginningI loved you right throughArm in arm we laughed like kidsAt all the silly things we didYou made me promises, promisesKnowing I'd believePromises, promisesYou knew you'd never keepSecond time around, I'm still believingThe words that you saidYou said you'd always be here""In love forever"" still repeats in my headYou can't finish what you startIf this is love it breaks my heartYou made me promises, promisesYou knew you'd never keepPromises, promisesWhy do I believe?"
The Other Guy,Little River Band,1983,65,"I found out that you care for another guyI found out that you want for another smileWe are alone as two different people can beAnd it's hurting me soJust to know that you don't care for me[Chorus:]The other guy won't be around to talk to our kidsHe won't understand when you're down the way that I didWe had it all, you and I, we just need to try againI found out that your heart's in another guyYou found out that you're tellin' another lieWe've gone apart and goin' our own separate waysAnd you don't understandWhy I love you and want you to stay[Chorus]You don't know it's me that you needYou're thinking of him and I can't competeWell I'm here to say I still want you back again"
Making Love Out of Nothing at All,Air Supply,1983,66,I know just how to whisperAnd I know just how to cryI know just where to find the answersAnd I know just how to lieI know just how to fake itAnd I know just how to schemeI know just when to face the truthAnd then I know just when to dreamAnd I know just where to touch youAnd I know just what to proveI know when to pull you closerAnd I know when to let you looseAnd I know the night is fadingAnd I know the time's gonna flyAnd I'm never gonna tell you everything I gotta tell youBut I know I gotta give it a tryAnd I know the roads to richesAnd I know the ways to fameI know all the rules and then I know how to break 'emAnd I always know the name of the gameBut I don't know how to leave youAnd I'll never let you fallAnd I don't know how you do itMaking love out of nothing at all
Family Man,Hall & Oates,1983,67,"[Intro]She had sulky smileShe took her standard poseAs she presented herselfShe had sultry eyesShe made it perfectly plainThat she was his for a priceBut he said: ""Leave me alone, I'm a family manAnd my bark is much worse than my bite""He said: ""Leave me alone, I'm a family manIf you push me too far I just might""[Verse 1]She wore hurt surpriseAs she rechecked her make-up to protect herselfDropped her price and prideShe made it totally clearThat she was his for a night[Chorus]But he said: ""(Leave me alone), I'm a family manAnd my bark is much worse than my bite""He said: ""(Leave me alone), I'm a family manIf you push me too far I just might""[Verse 2]She gave him her lookIt would have worked on any other man aroundHe looked her up and downShe knew he couldn't decideIf he should hold his ground"
Wanna Be Startin' Somethin',Michael Jackson,1983,68,"[Chorus]I said you wanna be startin' somethin'You got to be startin' somethin'I said you wanna be startin' somethin'You got to be startin' somethin'It's too high to get over (Yeah, yeah)You're too low to get under (Yeah, yeah)You're stuck in the middle (Yeah, yeah)And the pain is thunder (Yeah, yeah)It's too high to get over (Yeah, yeah)You're too low to get under (Yeah, yeah)You're stuck in the middle (Yeah, yeah)And the pain is thunder (Yeah, yeah)[Verse 1]I took my baby to the doctor with a feverBut nothin' he foundBy the time this hit the streetThey said she had a breakdownSomeone's always tryin'To start my baby cryin'Talkin', squealin', lyin'Sayin' you just want to be startin' somethin'[Chorus]I said you wanna be startin' somethin'You got to be startin' somethin'I said you wanna be startin' somethin'You got to be startin' somethin'It's too high to get over (Yeah, yeah)You're too low to get under (Yeah, yeah)You're stuck in the middle (Yeah, yeah)And the pain is thunder (Yeah, yeah)It's too high to get over (Yeah, yeah)You're too low to get under (Yeah, yeah)You're stuck in the middle (Yeah, yeah)And the pain is thunder (Yeah, yeah)"
I Won't Hold You Back,Toto,1983,69,"[Verse 1]If I had another chance tonightI'd try to tell you that the things we had were rightTime can erase the love we sharedBut it gives me time to realize just how much you caredNow you're gone, I'm really not the sameI guess I held myself to blameTime can erase the things we saidBut it gives me time to realize that you're the one who's sad[Chorus]You know I won't hold you back nowThe love we had just can't be foundYou know I can't hold you back now[Verse 2]Now that I'm alone it gives me timeTo think about the years that you were mineTime can erase the love we sharedBut it gives me time to realize just how much you cared[Chorus]You know I won't hold you back nowThe love we had just can't be found - Listen to me, babyYou know I can't hold you back nowOh"
All Right,Christopher Cross,1983,70,"I knowI know what's on your mindAnd I know it gets tough sometimesBut you can give it one more tryFind a reason whyYou should pick it upOooh, and try it againCause it's all right, I think we're gonna make itI think it might just work out this timeIt's all right, I think we're gonna make itI think it might work out fine this timeIt's all right, I think we're gonna make itI think it might just work outCause it's not too late for thatToo late for meI know I've been hurt beforeAnd I know I really shouldn't give any moreBut this timeThis time things seem just a little differentAnd when I look in your eyesYou know I can see that it's trueAnd I hear you say"
Straight from the Heart,Bryan Adams,1983,71,"[Verse 1]I could start dreamin' but it never endsAs long as you're gone we may as well pretendI've been dreamin'Straight from the heart[Verse 2]You say it's easy but who's to sayThat we'd be able to keep it this wayBut it's easierComin' straight from the heart[Chorus]Oh, give it to me straight from the heartTell me we can make another startYou know I'll never go - as long as I knowIt's comin' straight from the heart[Verse 3]I see you on the street some other timeAnd all my words would just fall out of lineWhile we're dreamin'Straight from the heart[Chorus]Oh, give it to me straight from the heartTell me we can make one more startYou know I'll never go - as long as I knowIt's comin' straight from the heart"
Heart to Heart,Kenny Loggins,1983,72,"[Verse 1]You ain't crazyI ain't gonna lie anymoreWhat you're feelin'There's a reason forI wanna do rightOh, gotta do rightDo I love you, ohYou know I've triedBut what you're afterYou can't find in my eyesI'm gonna do right[Pre-Chorus 1]Darlin'Tell the truthDon't turn awayThis is our last chanceTo touch each other's heart[Chorus]Does anything last foreverI don't knowMaybe we're near the end(So darlin' tell me)So darlin', ohHow can we go on togetherNow that we've grown apart, oh noWell, the only way to startIs heart to heart"
